1,2,3,4,assign,6,7,lastupdate,severity,status,title,12,software,14,platform,16,description
"1","350000","mozilla","venugopal","Nobody; OK to take it and work on it","2006-08-24 04:27:00","2011-02-06 10:46:00","2011-02-06 10:46:00","normal","fixed","Firefox closes automatically","General","Firefox","","win","","user-ag mozilla/4 compat msie window nt avant browser avant browser net clr build identifi firefox win xp sp2 anti viru spywar softwar open firefox browser page yahoo home page load close automat unintal firefox restor system latest version browser thing ie6 work fine bodi solut firefox browser reproduc step reproduc open firefox browser page yahoo home page load close automat result open firefox browser page yahoo home page load close automat http kb mozillazin org/firefox_crash yahoo application_st respons report gt incomplet report problem reopen bug"
"2","350001","mozilla","Axel Hecht [:Pike]","Nobody; OK to take it and work on it","2006-08-24 04:33:00","2010-02-07 01:26:00","2010-02-07 01:26:00","feature","fixed","Redo shipped-locales for Firefox 2 Beta 2","Build Config","Firefox","","all","351044 353341","beta recreat shipped-local file browser scratch build qa statu releas make file empti start chanc glitch repli comment gt make file empti start chanc gt glitch sound good bug track bug ad local check shipped-local cvsroot/mozilla/browser/locales/attic/shipped-local lt shipped-local revis previou revis en-u thing left creat attach detail tent candid shipped-local ship ve bit sloppi todai check-in dietrich miss entiti suggest ship hy-am ro sq pt-br doesn search bust ga-i zh-cn troubl creat attach detail final candid beta2 shipped-local attach version ship local axel version ad os specifict ja-jp-mac ja creat attach diff detail review patch coupl pa-in/gu-in timr version pa-in gu-in ship win32/linux comment attach diff detail review patch coupl pa-in/gu-in check latest ship local odd os limit creat attach detail offici list local releas beta2 comment attach detail offici list local releas beta2 gt gu-in win32 linux mention preed irc make gu-in linux win32 broken due encod problem instal gt win32 broken due encod problem instal xml pars error start win32 gt http bugzilla mozilla org/show_bug cgi id bug file instal beta door close quickli quickli gerv oop wrong bug api test gerv"
"3","350002","mozilla","rbs","rbs","2006-08-24 04:36:00","2006-09-03 16:49:00","2006-09-03 16:49:00","feature","fixed","Reposition HasAttributeDependentStyle() to follow AttributeChanged()","Style System (CS","Core","","win","38378 179619","moment nscssframeconstructor attributechang call hasattributedependentstyl optim call handler frame attributechang swap posit frame attributechang handlder call insert rule stylesheet subsequ hasattributedependentstyl pick updat motiv mathml map attribut style lazili mathml attributechang work bug add style rule intern mathml attribut stylesheet fly addit deem attributechang handler manual check attribut matter make re-resolv avoid common attribut miss automat re-resolv asynchron dai nifti postrestyleev bz ad ago earli call hasattributedependentstyl didn find attribut optim nscssframeconstructor attributechang option pre-propul attribut stylesheet bogu rule involv attribut quirki compar swap call nscssframeconstructor attributechang work hasattributedependentstyl optim back bug cv archeolog don forse side-effect object swap creat attach diff detail review swap patch comment attach diff detail review swap patch ergh remov nsifram attributechang creat mathml content object map attribut style map attribut stuff minor modif html-specif cleaner perform solut make add comment explain order depend peopl don switch back dbaron gt creat mathml content object map attribut style gt map attribut stuff eventu fear extra footprint warrant benefit stage compar function mappabl attribut work simpl case handl public fly insertrul mention reli sole mappabl attribut complex attribut involv make style system understand thing depend textual content nth-child side mathml specif thing bug comment simpli mathml content object don resolv matter non-crit bug hang long afraid issu won high prioriti lead bog fear gui patch invas break overload impli gener task gt fear extra footprint extra footprint extra vtabl method overrid rest comment frankli mathml attribut map css easili cheapli bug comment comment attach diff detail review swap patch sr dbaron don opinion work don nsifram attributechang method attribut handl live content style check comment characterdatachang remov principl method frame sync intern cach state depend attribut combin html content attributechang relev attribut fulli resolv style content implement end notifi frame state ad style context struct updat style mechan end flexibl content special test frame type cast frame class poke privat interfac svg text encourag peopl put function content end good thing"
"4","350003","mozilla","Paul","Nobody; OK to take it and work on it","2006-08-24 04:43:00","2008-07-31 01:52:00","2008-07-31 01:52:00","feature","fixed","Closed XHTML tags are un-closed when viewed using &quot;view selection source&quot;","View Source","Toolkit","","win","233386","user-ag mozilla/5 window window nt en-u rv gecko/20060728 firefox/1 build identifi mozilla/5 window window nt en-u rv gecko/20060728 firefox/1 preview page correctli form xhtml self-clos tag lt br gt lt img src alt gt close view view select sourc lt br gt lt img src alt gt reproduc step reproduc select relev area valid xhtml page lt img gt lt br gt tag close properli click select view select sourc observ xhtml compliant lt img gt lt br gt tag result close lt img gt lt br gt tag lt br gt lt img src alt gt expect result close lt br gt lt img src alt gt bug mark duplic"
"5","350004","mozilla","Nickolay_Ponomarev","Jeff Balogh (:jbalogh)","2006-08-24 04:46:00","2009-05-01 10:17:00","2009-05-01 10:17:00","feature","fixed","Include an About AMO page with contact info","Public Pages","addons.mozilla.o","","all","427104 442453 374428 442709","upload extens wrong min/maxvers lengthi error messag end gt version found addon databas gt amo mozilla org irc error gt abort problem irc link page http irc mozilla org/ contact info amo mozilla org wrong server irc mozilla org suggest replac text link http wiki mozilla org/upd home_pag contact_inform sentenc sound weird suppos amo addon morph fit remora contact page kinda http addon mozilla org/firefox/support/ page blog involv privaci faq contact boriss figur land featur navig header footer open idea design page content add bug comment includ involv section bug good quick stat updat queue nom queue length averag time due comment bug basil end week move assign morgam basil left yeah contact page ll user faq question amo add-on put footer contact wiki world-edit contact support amo includ question add-on review mail list amo-editor mozilla dot org irc addon irc mozilla org administr develop mail list amo-admin mozilla dot org irc amo irc mozilla org page perfect peopl learn amo link amo blog involv page bug detail inform contact link support document faq sandbox explan spars page contact inform editor admin isn ll ton email question doesn add-on work firefox doesn work don peopl editor admin mail list toler flood support question long nick thought comment assum meant nnguyen cced bug amo team watch qa contact mail bug cc isn requir justin show subscrib amo bug receiv mail miss justin push final text end week bug mockup page http wiki mozilla org/us marc_diethelm/aboutamo http doc googl com/doc id dds6vwb4_07r2gwdf5 creat attach diff detail review page amo comment attach diff detail review page amo minor tweak ll commit r22771 made minor largest remov section suggest peopl contact satisfact care valid http valid w3 org/check uri http fpreview addon mozilla org fen-u ffirefox fpage fabout amp charset detect automat amp doctyp inlin amp group show error repli comment gt care valid gt yep fix verifi fix"
"6","350005","mozilla","Fuke","Nobody; OK to take it and work on it","2006-08-24 05:00:00","2006-08-31 14:03:00","2006-08-31 14:03:00","feature","fixed","Pointing mozilla to the above page displays garbage","Layout","Core","","win","","user-ag mozilla/4 compat msie window nt sv1 net clr net clr build identifi mozilla/5 window window nt en-u rv gecko/20060728 firefox/1 render issu firefox content link displai total garbl guess easi reproduc doesn problem reproduc creat attach detail bug screenshot invalid code gener work work correctli firefox firefox render issu author invalid code forc firefox run quirk mode http valid w3 org/check verbos amp uri http fwww vfs-usa fapplnform fhdfc fhdfcaddresslist aspx fix valid error make simplifi testcas ll talk error page ryan penag page invalid bug bug part page handl invalid fact triag layout bug understand page doesn expect throw page invalid page insid tabl cell problem paragraph explicit height pixel tabl cell expand height content cell pixel paragraph px text overflow set default visibl overflow text overlai content cell bug mozilla"
"7","350006","mozilla","Robert Rothenberg","Daniel","2006-08-24 05:01:00","2010-07-22 17:00:00","2010-07-22 17:00:00","feature","open","favicon not listed in media tab of Page Info","Page Info","Firefox","","all","216907 201264","user-ag mozilla/5 x11 linux i686 en-gb rv gecko/20060731 ubuntu/dapper-secur firefox/1 build identifi mozilla/5 x11 linux i686 en-gb rv gecko/20060731 ubuntu/dapper-secur firefox/1 visit page site default icon explicitli mention page default icon list media tab page info imag displai part page media tab color url favorit icon note explicitli page reproduc step reproduc visit page site favorit icon root call favicon ico explicitli header http www cnn view page info ctrl-i media tab show favorit icon expect result url favicon ico list wontfix control browser chrome favicon prefer mozilla/5 window window nt en-u rv a2pr gecko/20090826 namoroka/3 a2pr wontfix nomin whiteboard remov bug confirm mark present perfectli valid wontfix recommend base misunderstand philip misunderstood prefer browser chrome favicon doesn bug favicon show tab miss entri list media belong page tool gt page info gt media global favicon ico server root list explicitli referenc page markup doubt global favicon form part page list media list extern imag belong page creat attach diff detail review patch add favicon page info link state explicitli page sourc ensur favicon displai comment attach diff detail review patch gavin knowledg page info util toolkit section review daniel comment attach diff detail review patch gt gt gt function addimag url type alt elem isbg gt gt url gt url gimagehash url null gt return gt gt gimagehash hasownproperti url addimag function count time imag page count visibl count column tree bug detail understood correctli favicon work file favicon ico link tag url favicon page test ad favicon ico file uncondition list imag comment attach diff detail review patch gt diff ca15f0ccd62c browser/base/content/pageinfo/pageinfo js gt add favicon gt documenturi gdocument locat tostr gt rooturi documenturi substr gt documenturi indexof documenturi indexof gt faviconuri rooturi favicon ico gdocument documenturiobject prepath favicon ico make queri favicon servic icon load getfaviconlinkforicon avoid page favicon florian point favicon servic support kind queri marco api ve cced gt addimag faviconuri gstring medialink faviconuri true pass faviconuri elem true isbg doesn gt function addimag url type alt elem isbg extrem dubiou displai favicon pageinfo imag tabbrows tab and/or locationbar optim slightli bother webpag lt link icon gt websit oper doesn expect check favicon ico gavin mind comment favico bug privaci issu complet year improv product don repli whatsoev rais security/privaci relat problem mechan ensur bug notic comment repli comment gt imag tabbrows tab and/or gt locationbar gt optim slightli bother webpag gt lt link icon gt favicon servic make point moot creat attach diff detail review patch add favicon inform page doesn explicit link favicon sourc favicon cach favicon obtain faviconservic fall back default favicon ico comment attach diff detail review patch gt diff ca15f0ccd62c browser/base/content/pageinfo/pageinfo js gt gt faviconuri faviconservic getfaviconforpag pageuri gt hope thing async futur ad entri media list async api async callback getfaviconforpag pageuri callback gt catch don favicon cach fall back gt default favicon link comment style complet multi line comment hang side file multilin comment style singl line comment correct style code gt gt faviconuri makeuri gdocument documenturiobject prepath gt favicon ico gt gt load store favicon cach gt faviconservic setandloadfaviconforpag pageuri faviconuri fals async wait fetch icon due lazy_add fail page histori disabl pb mode icon won load case add icon page succe back callback api faviconservic setandloadfaviconforpag pageuri faviconuri fals callback callback nsifavicondatacallback call case success fire callback null param case cancel gt faviconcach gt favicon cach gt faviconuri faviconservic getfaviconforpag pageuri brace line bad gt gimagehash faviconuri spec count gt favicon store chrome mozapps/skin/places/ gt displai make preview panel gt gt gt var faviconelem imag creat htmlimageel gt faviconelem src faviconuri spec icon faviconservic moz-anno protocol moz-anno icon uri_of_the_pag ll back favicon async default icon icon unknown point show entri trail space newlin indent fanci bigger issu improv favicon servic api idea statu patch"
"8","350007","mozilla","Aaron Lote","Nobody; OK to take it and work on it","2006-08-24 05:16:00","2010-06-13 14:17:00","2010-06-13 14:17:00","feature","fixed","Don't isnt suggested at the start of a line","Spelling checker","Core","","all","461898 479334","user-ag mozilla/5 window window nt en-u rv b2 gecko/20060821 firefox/2 b2 build identifi mozilla/5 window window nt en-u rv b2 gecko/20060821 firefox/2 b2 enter dont middl sentenc firefox recogn spell mistak suggest don dont start sentenc recogn spelt don suggest click reproduc step reproduc enter dont start sentenc click word note don result enter dont start sentenc click word note don expect result don suggest dont middl sentenc mozilla/5 x11 linux i686 en-u rv b2 gecko/20060823 bonecho/2 b2 id en-u dictionari clarifi origin report depend capit word posit dont don replac put sentenc dont doesn offer don nt amp nt correct replac wouldn repli comment gt mozilla/5 x11 linux i686 en-u rv b2 gecko/20060823 gt bonecho/2 b2 id en-u dictionari gt gt clarifi origin report depend capit gt word posit gt gt dont don replac put gt sentenc gt gt dont doesn offer don gt gt nt amp nt correct replac gt wouldn dont capit suggest don bug repli comment gt wouldn dont capit suggest don bug dont gt don fix hunspel firefox thunderbird dont suggest don bug don natur fix hunspel problem don dot don valid word don suggest dictionari bug object hack ad don en-u dictionari downsid untidi bug mark duplic bug bug teh gt fix lot googl doc user complain specif case repli comment gt bug teh gt fix lot googl doc user complain gt specif case ll fix port branch includ releas"
"9","350008","mozilla","Kent Paul Dolan","general","2006-08-24 05:20:00","2006-08-24 23:48:00","2006-08-24 23:48:00","feature","fixed","SeaMonkey handles what should be ordinary web page accesses clumsily, requiri...","General","SeaMonkey","","win","","user-ag mozilla/5 window window nt en-u rv a1 gecko/20060808 seamonkey/1 build identifi mozilla/5 window window nt en-u rv a1 gecko/20060808 seamonkey/1 suspect problem bug origin hyperlink document begin referenc url protocol seamonkei recogn nativ seamonkei recogn protocol protocol seamonkei click link bottom edg page should_ bring page expect begin complex dialog end result displai page separ window intermedi step collaps end result thing complex dialog make open link tab fail function user click document subsequ page link request open vbush1 shtml read file vbush1 shtml type text/x-server0parsed-html html document seamonkei handl file time file locat http www press umich seamonkei file open default applic seamonkei pop point user wtf reaction kick heavili seamonkei deni knowledg protocol time claim default applic handl protocol broken dismiss next-appear download manag user treat seamonkei open document painlessli window local download copi inter-meta-docu link broken if_ seamonkei knew perfectli document protocol intens annoi add lot lot click user access document should_ act html document access fix bogu behavior seamonkei smoothli handl protocol claim handl smoothli unneededli user-vis intermedi download step subsequ intern link malfunct xanthian reproduc step reproduc open url click section button bottom web page watch broken behavior spell detail result user interact web page download document-location-rel http link longer work open expect result page open web page link function obviou work-around page open easi workaround pre-download hierarch document make link work server misconfigur mozilla bug repli comment gt server misconfigur mozilla bug gt excus seamonkei remot server put request claim recogn file type seamonkei remot server download file claim default handler seamonkei remot server claim handl file type fact handl displai reopen bug xanthian server send text/server-parsed-html part server configur server pars file execut ssi instruct part server configur handl part part configur server misconfigur mozilla handl type text/server-parsed-html show dialog unsupport type bug"
"10","350009","mozilla","Martijn Wargers [:mw22] (QA - IRC nick: ","Vladimir Vukicevic (:vlad)","2006-08-24 05:21:00","2007-04-30 23:06:00","2007-04-30 23:06:00","feature","fixed","border-radius with double border example doesn't render under windows cairo b...","Graphics","Core","","all","368247 349692","testcas bug cairo build border border-radiu don render border problem non-cairo build interest ll os border-styl doubl combin moz-border-radiu simpli doesn render fix patch bug"
"11","350010","mozilla","Olli Pettay [:smaug]","Olli Pettay [:smaug]","2006-08-24 05:22:00","2006-09-06 02:13:00","2006-09-06 02:13:00","feature","fixed","remove nsXULElement::mListenerManager","DOM: Events","Core","","all","","nsxulel mlistenermanag remov ad looong time ago xul dom merg dom event handl nowadai listenermanag creat test creat xul element event listen manag creat attach diff detail review remov mlistenermanag nsinod getlistenermanag comment attach diff detail review remov mlistenermanag nsinod getlistenermanag sr jst convinc win small code win guess overhead store data data hash bigger save member guess hope notic perform xul element don listen manag memori consumpt stai pretti remov code isn test number comment attach diff detail review remov mlistenermanag nsinod getlistenermanag ey perf hit prefer land perf hit leav thing couldn perf hit"
"12","350011","mozilla","andrea","Nobody; OK to take it and work on it","2006-08-24 05:35:00","2010-07-22 16:58:00","2010-07-22 16:58:00","critical","open","Firefox stops responding (all versions) after some seconds when trying to pla...","Plug-ins","Core","","win","","user-ag mozilla/5 window window nt rv b1 gecko/20060710 firefox/2 b1 build identifi mozilla/5 window window nt rv b1 gecko/20060710 firefox/2 b1 firefox stop respond version plai flv video flash plugin show illig oprat window close window stop respond flash button highlight script stop firefox close kill task manag incompat issu gecko reproduc step reproduc open flash site show flv stream video firefox stop respond detail manual kill process exit illieg oper messag isn displai result firefox stop respond expect result continu plai video flash version flash fix issu flash clean profil extens instal clean profil firefox beta crash newest flash ff ff3 beta ftp ftp mozilla org/pub/firefox/nightly/3 b5-candidates/rc2/ ubuntu flv video firefox crash extens noscript turn site plai video youtub foxmark forcast bar enhanc smart bookmark bar ve confirm plai video epiphani web browser sound issu thread http support mozilla com/tiki-view_forum_thread php forumid amp comments_parentid basic plai youtub video firefox final result movi freez coupl advanc video symptom reproduc video complet load won complet plai movi http www youtub com/watch nv2u9r4bso movi youtub exhibit behaviour issu present attempt plai movi safari opera case ms window xp profession servic pack flash version r124 reread rest ticket issu slightli origin ticket complain firefox freez relat javascript flash entri specif flash report fwiw issu reproduc firefox similar issu run flash content mozilla www ecb int recur instal mozilla firefox beta download latest version prompt mozilla firefox onscreen instruct miss http www askvg com/mozilla-firefox-3-6-4-released-download-now make sens plugin issu confirm plugin doesn hang crash oopp process plugin ad close bug resolv gt worksform"
"13","350012","mozilla","Uri Bernstein (Google)","Uri Bernstein (Google)","2006-08-24 05:48:00","2008-07-31 02:46:00","2008-07-31 02:46:00","feature","fixed","Logical editing operations misbehave when the caret is positioned away from t...","Layout: Text","Core","","all","344226 305798","bug made visual posit caret base cart movement posit logic entri point introduc case movecaret logic visual movement case movement base logic posit caret visual displai upcom testcas demonstr case shift arrow select logic oper bidi edit caret_movement_styl set default ctrl del forward word delet logic oper fix bug creat attach detail testcas testcas demonstr occurr problem instruct includ creat attach diff detail review patch restrict fix bug case visual movement restor previou logic case logic movement check check layout/generic/nsselect cpp cvsroot/mozilla/layout/generic/nsselect cpp lt nsselect cpp revis previou revis"
"14","350013","mozilla","A. Shimono [:himorin]","Nobody; OK to take it and work on it","2006-08-24 06:01:00","2008-08-28 20:17:00","2008-08-28 20:17:00","feature","fixed","cannot get old change histories from Special:Recentchanges","Deki Infrastruct","Mozilla Develope","","all","","user-ag mozilla/5 window window nt en-u rv gecko/20060508 firefox/1 build identifi mozilla/5 window window nt en-u rv gecko/20060508 firefox/1 histori special recentchang august dai queri limit oldest aug ve situat ja reproduc step reproduc output set special recentchang result histori time expect result histori url http develop mozilla org/en/docs/index php titl special recentchang amp dai amp limit earliest displai entri common pitfal bzbarski talk block amp incorrect secur check http develop mozilla org/en/docs/index php titl special recentchang amp dai amp limit earliest displai entri common pitfal bzbarski talk block amp incorrect secur check retriev record earlier earlier histori individu page histori link limit queri return limit set repli comment gt earlier histori individu page histori gt link wfm due relunch deki"
"15","350014","mozilla","Damian Szczepanik","Nobody; OK to take it and work on it","2006-08-24 06:10:00","2006-10-31 15:54:00","2006-10-31 15:54:00","feature","fixed","visit URL: success only with http, ftp, mailto but not with external applicat...","Internal Compone","Calendar","","win","","user-ag mozilla/5 window window nt en-u rv gecko/20060728 firefox/1 build identifi mozilla/5 window window nt en-u rv a1 gecko/20060823 calendar/0 a2 launch extern program click visit url accept select applic reproduc step reproduc creat event url field type notepad file txt press visit ulr gt dialog confirm applic show accept notepad properli app press launch applic gt effect expect result notepad launch alert file txt unknown window notepad avaiabl command line notepad applic launch properli error consol empti url form notepad file txt expect work doesn work firefox doesn work window work sunbird repli comment gt url form notepad file txt expect gt work doesn work firefox doesn work window gt work sunbird goal extern protokol request dialog understand launch extern applic support protocol applic launch properli send issu sunbird point view matter notepad skype notapad regist protocol applic complet hmm check egzot regist protocol work inform oper fail url link run extern applic secur stick standard url type mark invalid"
"16","350015","mozilla","Deb Richardson [:dria]","Nobody; OK to take it and work on it","2006-08-24 06:18:00","2007-03-13 13:37:00","2007-03-13 13:37:00","normal","fixed","Please verify that MDC wiki databases are working properly","Deki Infrastruct","Mozilla Develope","","all","","coupl recent issu make worri integr mdc wiki databas post failed-upgrad time verifi work expect fine bug shaver bug assign make prioriti item ahead close month thing settl fallout paranoia upgrad fiasco resolv"
"17","350016","mozilla","Damian Szczepanik","Nobody; OK to take it and work on it","2006-08-24 06:27:00","2007-03-11 13:45:00","2007-03-11 13:45:00","minor","fixed","Edit selection does not work for tasks","Calendar Views","Calendar","","win","","user-ag mozilla/5 window window nt en-u rv gecko/20060728 firefox/1 build identifi mozilla/5 window window nt en-u rv a1 gecko/20060823 calendar/0 a2 select task click menu file gt edit select edit task edit event dialog select event maybi work properli make sens edit select edit event reproduc step reproduc creat event select event press gain focu creat task select task menu file choos edit select result edit event dialog show expect result event task dialog show event task exist edit select disabl task account imo menu useless unifind main view task pane comfort easier directli menu file event select work mozilla/5 window window nt en-u rv a1 gecko/20061027 calendar/0 a1 omar interest step work reproduc problem sunbird nightli build mozilla/5 window window nt en-u rv a1 gecko/20061031 calendar/0 a1 step creat event month week view select event creat creat task select task creat choos edit- gt edit select ctrl actual-- edit dialog pop event pre-load edit expected-- edit dialog pop task preload edit task recent select made confirm bug select task select task calendar view press ctrl task edit window open select task task list event focus event edit window open work reproduc depend task view obviou edit select account task list problem damian complain edit select"
"18","350017","mozilla","exir.kamal","Nobody; OK to take it and work on it","2006-08-24 06:33:00","2008-07-31 01:49:00","2008-07-31 01:49:00","feature","fixed","Adding Restart Button When Using Themes","Add-ons Manager","Toolkit","","win","336050","user-ag mozilla/5 window window nt en-u rv b1 gecko/20060710 firefox/2 b1 build identifi mozilla/5 window window nt en-u rv b1 gecko/20060710 firefox/2 b1 firefox beta restart firefox button instal theme extens theme restart firefox button displai restart firefox neat button reproduc bug mark duplic"
